Video/ Audio,URL,Transit relevent ?,Count - video(past 12 months),Count - Meetings (past 12 months),Transportation Commission/City Counsil/ Planning Commission?,Mentioned Transportation Topic?,Transportation Commission Existed?,Transportation Commission video posted (>2 in the last year)?,"If no transportation commission, other meetings posted?",NAME2,AgencyName,NTDID,orgtype,pop,reptype,VOMS,mile,revenue,survey_response,Density,County,id,Contact Name,Email.x,Transit Operating Expense,size,CTA,Founded,OrgName,Organization Type,Website,Address,Zip,Phone,Primary Contact - Title,CALACT,Contact,Email.y,CATEGORY,OT,City
YouTube,https://www.ventura.org/government/meetings-and-broadcasts/,No,109,,,,,,,Ventura County Transportation Commission,Ventura County Transportation Commission,90164,MPO/RTPA,199943,Full Reporter,45,28,11035292,0,4352,Ventura,Suburban City,Darren Kettle,Dkettle@goventura.org,9158975,small,CTA Member,,"Ventura County Transportation Commission, CTSA/RTPA",Local or Regional Government Agency,http://www.goventura.org,751 E Daily Drive Ste 420,93010,805-642-1591,Executive Director,CALACT Member,Darren Kettle,dkettle@goventura.org,,MPO/RTPA,Ventura
No,,,,,,,,,,Victor Valley Transit Authority,Victor Valley Transit Authority,90148,Independent Public Agency,344288,Full Reporter,302,327,34090443,1,1969,San Bernardino,Suburban City,Kevin Kane,Kkane@vvta.org,22474323,small,CTA Member,,Victor Valley Transit Authority,Public Operator,http://vvta.org,17150 Smoke Tree Street,92345,"760-948-4021, 118",Executive Director/Chief Executive Officer,CALACT Member,Kevin Kane,kkane@vvta.org,,Independent Public Agency,Hesperia
Granicus,https://visalia.legistar.com/Calendar.aspx,No,23,67,,,,,,Visalia,City of Visalia,90091,Local Government,136246,Full Reporter,39,44,10875718,1,3460,Tulare,Principal City,Angelina Soper,Angelina.Soper@visalia.city,10685140,small,CTA Member,,"Visalia, City of",Local Government,http://visalia.city,425 E Oak Avenue Ste 301,93291,559-713-4100,Financial Analyst,CALACT Member,Carmen Quevedo,Carmen.Quevedo@Visalia.City,Local Government,Local Government,Visalia
Own Website,https://www.westcovina.org/about-the-city/live-streaming-video,No,43,,,,,,,West Covina,City of West Covina,90293,Local Government,107634,Reduced Reporter,8,16,1301723,0,6999,Los Angeles,Suburban City,,,,,,,"Covina, City of",Local or Regional Government Agency,http://covinaca.gov/,125 E College Street,91723,626-384-5520,Management Analyst,CALACT Member,Raphael Guillen,rguillen@covinaca.gov,,Local Government,West Covina
Granicus,https://www.weho.org/city-government/wehotv/city-council-meetings,No,23,,,,,,,West Hollywood,City of West Hollywood,90294,Local Government,35288,Reduced Reporter,10,2,2016784,0,6999,Los Angeles,Suburban City,,,,,,,"West Hollywood, City of",Local Government,http://www.weho.org,8300 Santa Monica Blvd,90069,323-848-6510,Transportation Program Administrator,CALACT Member,Francisco Gomez,fgomez@weho.org,Local Government,Local Government,West Hollywood
Own Website,https://www.westcat.org/Home/InsBoard,No,12,,,,,,,Western Contra Costa Transit Authority,Western Contra Costa Transit Authority,90159,Independent Public Agency,64925,Full Reporter,50,20,11422044,0,6266,Contra Costa,Suburban City,Charles Anderson,charlie@westcat.org,10563066,small,CTA Member,,Western Contra Costa Transit Authority,Public Operator,http://www.westcat.org,601 Walter Avenue,94564,510-724-3331,General Manager,CALACT Member,Charlie Anderson,charlie@westcat.org,,Independent Public Agency,Pinole
No,,,,,,,,,,Whittier - Transit,,,Local Government,,,,,,0,,,,,,,,,,"Whittier, City of - Transit",Local or Regional Government Agency,http://www.cityofwhittier.org,13230 Penn Street,90602,562-567-9480,Community Services Manager,CALACT Member,Martin Browne,mbrowne@cityofwhittier.org,,Local Government,Whittier
YouTube,https://www.youtube.com/@YoloTD,No,7,,,,,,,Yolo County Transportation District,Yolo County Transportation District,90090,Independent Public Agency,528880,Full Reporter,50,109,17914239,0,3660,Yolo,Small Rural City,Jose Perez,jperez@yctd.org,13346532,small,CTA Member,,Yolo County Transportation District,Public Operator,http://www.yolobus.com,350 Industrial Way,95776,530-666-2877,"Deputy Director Operations, Planning & Special Projects",CALACT Member,Jose Perez,jperez@yctd.org,,Independent Public Agency,Woodland
No,,,,,,,,,,Yosemite Area Regional Transportation System,Yosemite Area Regional Transportation System,9R02-91070,Independent Public Agency,,Rural Reporter,10,,,0,,Merced,Principal City,,,,,,,,,,,,,,,,,,Independent Public Agency,Merced
No,,,,,,,,,,Yuba-Sutter Transit Authority,Yuba-Sutter Transit Authority,90061,Independent Public Agency,142481,Full Reporter,34,813,11609661,1,3019,Yuba,Small Rural City,Keith Martin,keith@yubasuttertransit.com,7265304,small,CTA Member,,Yuba-Sutter Transit Authority,Public Operator,http://www.yubasuttertransit.com,2100 B Street,95901,530-634-6880,Executive Director,CALACT Member,Keith Martin,keith@yubasuttertransit.com,,Independent Public Agency,Marysville
No,,,,,,,,,,Yurok Tribe,Yurok Tribe,99262,Other,,Reduced Reporter,4,,549612,0,0,Del Norte,Small Rural City,,,,,,,,,,,,,,,,,,Other,Klamath
